,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
81,0.4019,Thu Dec 21 13:23:16 +0000 2017,0.886,0.0,0.114,".@nxthompson on what you should do if you buy a smart toy for your child: “Read the privacy settings, you should ma… https://t.co/rE2PObj9XE",82,@cbsnews
82,0.09,Thu Dec 21 13:18:56 +0000 2017,0.604,0.171,0.225,"Smart toys are popular holiday gifts, but consumer watchdogs warn of the risks to children's privacy. CBS News cont… https://t.co/61wWNFuHOl",83,@cbsnews
83,-0.223,Thu Dec 21 13:15:51 +0000 2017,0.756,0.146,0.098,Tennis star Venus Williams will not face charges stemming from a deadly car crash in June: https://t.co/rKullSNQUX,84,@cbsnews
84,-0.5106,Thu Dec 21 13:14:26 +0000 2017,0.845,0.155,0.0,The FBI is joining the search for a Houston baby who was abducted after the baby’s mother was murdered:… https://t.co/5z3SkpFwYw,85,@cbsnews
85,0.5562,Thu Dec 21 13:10:01 +0000 2017,0.834,0.0,0.166,There are sunnier days ahead! Here are 7 things you should know about Thursday's #WinterSolstice -- the shortest da… https://t.co/YqmlopMrx9,86,@cbsnews
86,0.0,Thu Dec 21 13:06:58 +0000 2017,1.0,0.0,0.0,Fortune senior editor @LeighGallagher joins @CBSThisMorning with insights on some of the implications of the GOP ta… https://t.co/qh4Z9OXEUL,87,@cbsnews
87,0.25,Thu Dec 21 12:50:01 +0000 2017,0.85,0.0,0.15,A growing number of airlines are banning luggage with built-in phone chargers or tracking devices due to concerns t… https://t.co/WxRpmwa5U4,88,@cbsnews
88,0.25,Thu Dec 21 12:45:31 +0000 2017,0.85,0.0,0.15,A growing number of airlines are banning luggage with built-in phone chargers or tracking devices due to concerns t… https://t.co/Zn8fDWTW9W,89,@cbsnews
89,0.5859,Thu Dec 21 12:38:57 +0000 2017,0.847,0.0,0.153,"The parents of a baby girl, who grew from an embryo frozen for 24 years, are calling her birth a miracle. Emma Wren… https://t.co/AnS5lQd6jg",90,@cbsnews
90,-0.8402,Thu Dec 21 12:36:04 +0000 2017,0.64,0.36,0.0,A new lawsuit by Olympian McKayla Maroney casts a harsh light on how USA Gymnastics handled alleged sexual abuse. T… https://t.co/dDBQX9e189,91,@cbsnews
91,0.4588,Thu Dec 21 12:34:11 +0000 2017,0.857,0.0,0.143,"RT @CBSThisMorning: 💍NEW : @KensingtonRoyal has released the official engagement photos of Prince Harry and Ms. Meghan Markle. 

📸 by @alex…",92,@cbsnews
92,-0.651,Thu Dec 21 12:32:29 +0000 2017,0.638,0.273,0.089,"Almost 20 dead after fire breaks out at a fitness and leisure complex in South Korea, officials say… https://t.co/TYvqshcr4m",93,@cbsnews
93,-0.2263,Thu Dec 21 12:22:17 +0000 2017,0.899,0.101,0.0,New revelations from Apple confirm what many iPhone users suspected: Apple slows down older iPhones. The lithium-io… https://t.co/Ol55xahfcK,94,@cbsnews
94,0.4404,Thu Dec 21 12:20:21 +0000 2017,0.822,0.0,0.178,A record number of Americans will travel over the holidays. AAA projects more than 107 million people will travel b… https://t.co/fkcQ51yOHc,95,@cbsnews
95,-0.8957,Thu Dec 21 12:18:38 +0000 2017,0.625,0.375,0.0,8 Americans are among the 12 people killed in a tourist bus crash in Mexico. 3 Americans who died were from the sam… https://t.co/MBleIYn4vD,96,@cbsnews
96,-0.4019,Thu Dec 21 12:16:59 +0000 2017,0.87,0.13,0.0,"An SUV slammed into a crowd in Melbourne, Australia, on Thursday. 19 people are injured, including four in critical… https://t.co/VrP5Z2X1EP",97,@cbsnews
97,0.4215,Thu Dec 21 12:16:00 +0000 2017,0.872,0.0,0.128,"“The bill is also unpopular, though, I believe because the president of the United States did not in a sustained wa… https://t.co/6Uv6eAKLVL",98,@cbsnews
98,0.0,Thu Dec 21 12:13:12 +0000 2017,1.0,0.0,0.0,"Dan Senor, Republican strategist and former adviser to House Speaker Paul Ryan, joins @CBSThisMorning to discuss th… https://t.co/KBgVE5TeVF",99,@cbsnews
99,0.0258,Thu Dec 21 12:11:34 +0000 2017,0.932,0.0,0.068,"A few hours after their White House celebration, congressional Republicans released a new plan to prevent a governm… https://t.co/OrpVQl43el",100,@cbsnews
